City,Local_Time,Temperature,Condition,Scraped_At
Accra,Wed 8:55 pm,79 °F,Edmonton *,2026-06-03 13:55:25
Addis Ababa,Wed 11:55 pm,66 °F,Frankfurt *,2026-06-03 13:55:25
Adelaide,Thu 6:25 am,50 °F,Guatemala City,2026-06-03 13:55:25
Algiers,Wed 9:55 pm,74 °F,Halifax *,2026-06-03 13:55:25
Almaty,Thu 1:55 am,68 °F,Hanoi,2026-06-03 13:55:25
Amman,Wed 11:55 pm,72 °F,Harare,2026-06-03 13:55:25
Amsterdam,Wed 10:55 pm,61 °F,Havana *,2026-06-03 13:55:25
Anadyr,Thu 8:55 am,45 °F,Helsinki *,2026-06-03 13:55:25
Anchorage,Wed 12:55 pm,69 °F,Hong Kong,2026-06-03 13:55:25
Ankara,Wed 11:55 pm,61 °F,Honolulu,2026-06-03 13:55:25
Antananarivo,Wed 11:55 pm,55 °F,Houston *,2026-06-03 13:55:25
Asuncion,Wed 5:55 pm,79 °F,Indianapolis *,2026-06-03 13:55:26
Athens,Wed 11:55 pm,77 °F,Islamabad,2026-06-03 13:55:26
Atlanta,Wed 4:55 pm,78 °F,Istanbul,2026-06-03 13:55:26
Auckland,Thu 8:55 am,55 °F,Jakarta,2026-06-03 13:55:26
Baghdad,Wed 11:55 pm,106 °F,Jerusalem *,2026-06-03 13:55:26
Bangkok,Thu 3:55 am,84 °F,Johannesburg,2026-06-03 13:55:26
Barcelona,Wed 10:55 pm,72 °F,Karachi,2026-06-03 13:55:26
Beijing,Thu 4:55 am,63 °F,Kathmandu,2026-06-03 13:55:26
Belgrade,Wed 10:55 pm,63 °F,Kingston,2026-06-03 13:55:26
Bengaluru,Thu 2:25 am,72 °F,Kinshasa,2026-06-03 13:55:26
Berlin,Wed 10:55 pm,61 °F,Kiritimati,2026-06-03 13:55:26
Bogota,Wed 3:55 pm,68 °F,Kolkata,2026-06-03 13:55:26
Boston,Wed 4:55 pm,74 °F,Kuala Lumpur,2026-06-03 13:55:26
Brasilia,Wed 5:55 pm,75 °F,Kuwait City,2026-06-03 13:55:26
Brisbane,Thu 6:55 am,56 °F,Kyiv *,2026-06-03 13:55:26
Brussels,Wed 10:55 pm,61 °F,La Paz,2026-06-03 13:55:26
Bucharest,Wed 11:55 pm,64 °F,Lagos,2026-06-03 13:55:26
Budapest,Wed 10:55 pm,61 °F,Lahore,2026-06-03 13:55:26
Buenos Aires,Wed 5:55 pm,59 °F,Las Vegas *,2026-06-03 13:55:26
Cairo,Wed 11:55 pm,81 °F,Lima,2026-06-03 13:55:26
Calgary,Wed 2:55 pm,61 °F,Lisbon *,2026-06-03 13:55:26
Canberra,Thu 6:55 am,45 °F,London *,2026-06-03 13:55:26
Cape Town,Wed 10:55 pm,59 °F,Los Angeles *,2026-06-03 13:55:26
Caracas,Wed 4:55 pm,86 °F,Madrid *,2026-06-03 13:55:26
Casablanca,Wed 9:55 pm,70 °F,Managua,2026-06-03 13:55:27
Chicago,Wed 3:55 pm,81 °F,Manila,2026-06-03 13:55:27
Copenhagen,Wed 10:55 pm,59 °F,Melbourne,2026-06-03 13:55:27
Dallas,Wed 3:55 pm,89 °F,Mexico City,2026-06-03 13:55:27
Dar es Salaam,Wed 11:55 pm,75 °F,Miami *,2026-06-03 13:55:27
Darwin,Thu 6:25 am,70 °F,Minneapolis *,2026-06-03 13:55:27
Denver,Wed 2:55 pm,78 °F,Minsk,2026-06-03 13:55:27
Detroit,Wed 4:55 pm,79 °F,Montevideo,2026-06-03 13:55:27
Dhaka,Thu 2:55 am,87 °F,Montréal *,2026-06-03 13:55:27
Doha,Wed 11:55 pm,102 °F,Moscow,2026-06-03 13:55:27
Dubai,Thu 12:55 am,90 °F,Mumbai,2026-06-03 13:55:27
Dublin,Wed 9:55 pm,55 °F,Nairobi,2026-06-03 13:55:27
